country,country.code,gdp00,gdp04,gdp08,gdp12,gdp16,pop00,pop04,pop08,pop12,pop16,soviet,comm,muslim,oneparty,gold00,gold04,gold08,gold12,gold16,tot00,tot04,tot08,tot12,tot16,totgold00,totgold04,totgold08,totgold12,totgold16,totmedals00,totmedals04,totmedals08,totmedals12,totmedals16,bmi,altitude,athletes00,athletes04,athletes08,athletes12,athletes16,host
Afghanistan,AFG,#N/A,5285,10191,20537,19469,20094,24119,27294,30697,34656,0,0,1,0,0,0,0,0,0,0,0,1,1,0,298,301,301,301,298,915,924,949,956,949,23.3,1790,0,5,4,6,3,0
Algeria,DZA,54790,85325,171001,209059,159049,31184,32831,34861,37566,40606,0,0,1,0,1,0,0,1,0,5,0,2,1,2,298,301,301,301,298,915,924,949,956,949,25.6,1,47,61,56,38,64,0
Argentina,ARG,284204,164658,361558,545982,554861,37057,38729,40382,42097,43847,0,0,0,0,0,2,2,1,3,4,6,6,4,4,298,301,301,301,298,915,924,949,956,949,27.75,10.5,143,152,132,137,215,0
Armenia,ARM,1912,3577,11662,10619,10546,3070,3001,2908,2882,2925,1,1,0,0,0,0,0,0,1,1,0,5,2,4,298,301,301,301,298,915,924,949,956,949,#N/A,989,25,18,25,24,31,0
Australia,AUS,415034,611904,1052585,1543411,1208039,19153,20127,21249,22742,24211,0,0,0,0,16,17,14,8,8,58,50,46,35,29,298,301,301,301,298,915,924,949,956,949,27.25,605,617,470,432,404,420,1
Austria,AUT,196800,300904,430294,409425,390800,8012,8172,8321,8430,8737,0,0,0,0,2,2,0,0,0,3,7,3,0,1,298,301,301,301,298,915,924,949,956,949,25.65,170,92,74,70,70,72,0
Azerbaijan,AZE,5273,8680,48852,69684,37868,8049,8307,8763,9296,9758,1,1,0,0,2,1,1,2,1,3,5,6,10,18,298,301,301,301,298,915,924,949,956,949,#N/A,-28,31,36,44,52,56,0
Bahamas,BHS,8076,9055,10526,10721,11839,298,323,349,372,391,0,0,0,0,2,1,0,1,1,3,2,2,1,2,298,301,301,301,298,915,924,949,956,949,#N/A,2,25,22,25,21,29,0
Bahrain,BHR,9063,13150,25711,30749,32153,665,830,1115,1300,1425,0,0,1,0,0,0,0,1,1,0,0,0,1,2,298,301,301,301,298,915,924,949,956,949,#N/A,6,4,10,14,12,33,0
Belarus,BLR,12739,23144,60763,65685,47723,9980,9730,9528,9464,9502,1,1,0,0,3,2,3,2,1,17,13,14,10,9,298,301,301,301,298,915,924,949,956,949,26.7,198,139,151,177,160,120,0
Belgium,BEL,237905,370885,518626,497884,467546,10251,10421,10710,11128,11331,0,0,0,0,0,1,2,0,2,5,3,2,3,6,298,301,301,301,298,915,924,949,956,949,26.25,76,68,50,94,111,104,1
Botswana,BWA,5788,8957,10945,14686,15649,1728,1829,1946,2089,2250,0,0,0,0,0,0,0,0,0,0,0,0,1,0,298,301,301,301,298,915,924,949,956,949,#N/A,983,7,11,11,4,12,0
Brazil,BRA,655421,669317,1695825,2465189,1793989,175288,184738,192979,200561,207653,0,0,0,0,0,5,3,3,7,12,10,16,17,19,298,301,301,301,298,915,924,949,956,949,26.55,1079,198,243,268,248,462,1
Bulgaria,BGR,13153,25958,54409,53903,53241,8170,7717,7493,7306,7128,0,1,0,0,5,2,1,0,0,13,12,5,3,3,298,301,301,301,298,915,924,949,956,949,26.55,580,91,95,70,63,50,0
Cameroon,CMR,10084,17431,26410,29104,32218,15274,16959,18907,21082,23439,0,0,0,0,1,1,1,0,0,1,1,1,1,0,298,301,301,301,298,915,924,949,956,949,#N/A,726,32,17,32,32,24,0
Canada,CAN,742293,1023196,1549131,1824289,1535768,30770,31995,33246,34751,36265,0,0,0,0,3,3,3,2,4,14,12,20,18,22,298,301,301,301,298,915,924,949,956,949,27.05,74,294,263,332,273,310,1
Chile,CHL,77861,99210,179638,267122,250036,15263,15974,16662,17310,17910,0,0,0,0,0,2,0,0,0,1,3,1,0,0,298,301,301,301,298,915,924,949,956,949,28,521,50,22,26,35,42,0
China,CHN,1211347,1955347,4598206,8560547,11190993,1262645,1296075,1324655,1350695,1378665,0,1,0,1,28,32,48,38,26,58,63,100,91,70,298,301,301,301,298,915,924,949,956,949,23.8,44,271,384,599,375,392,1
Colombia,COL,99887,117075,243982,369660,280091,40404,42724,44902,46881,48653,0,0,0,0,1,0,0,1,3,1,2,3,8,8,298,301,301,301,298,915,924,949,956,949,26.25,2625,44,53,67,101,143,0
Croatia,HRV,21774,41575,70481,56565,51339,4426,4439,4435,4268,4174,0,1,0,0,1,1,0,3,5,2,5,5,6,10,298,301,301,301,298,915,924,949,956,949,27.45,130,88,81,99,107,85,0
Cuba,CUB,30565,38203,60806,73141,#N/A,11151,11267,11310,11382,11476,0,1,0,1,11,9,3,5,5,29,27,29,15,11,298,301,301,301,298,915,924,949,956,949,25.7,4,229,151,158,109,117,0
Cyprus,CYP,10183,17422,27839,25041,20154,943,1010,1082,1135,1170,0,0,0,0,0,0,0,0,0,0,0,0,1,0,298,301,301,301,298,915,924,949,956,949,#N/A,170,22,20,17,13,15,0
Czech Republic,CZE,61649,119162,235719,207376,195305,10255,10197,10385,10511,10566,0,1,0,0,2,1,3,4,1,8,9,7,11,10,298,301,301,301,298,915,924,949,956,949,#N/A,244,119,142,134,133,104,0
Denmark,DNK,164159,251373,353361,327149,306900,5340,5405,5494,5592,5728,0,0,0,0,2,2,2,2,2,6,8,7,9,15,298,301,301,301,298,915,924,949,956,949,25.45,0,97,92,84,114,119,0
Dominican Republic,DOM,24305,22693,48289,60658,72343,8563,9103,9637,10155,10649,0,0,0,0,0,1,1,1,0,0,1,2,2,1,298,301,301,301,298,915,924,949,956,949,#N/A,0,13,33,24,33,26,0
Ecuador,ECU,18328,36592,61763,87925,98614,12629,13510,14448,15420,16385,0,0,0,0,0,0,0,0,0,0,0,1,0,0,298,301,301,301,298,915,924,949,956,949,27.25,2850,10,16,25,36,37,0
Egypt,EGY,99839,78845,162818,279373,332928,69906,75382,80954,87813,95689,0,0,1,0,0,1,0,0,0,0,5,2,4,3,298,301,301,301,298,915,924,949,956,949,29.6,22,89,97,101,109,121,0
Eritrea,ERI,706,1109,1380,3092,5010,3393,3859,4233,4561,4955,0,0,0,1,0,0,0,0,0,0,1,0,0,0,298,301,301,301,298,915,924,949,956,949,20.7,2325,3,4,10,12,12,0
Estonia,EST,5686,12059,24194,23044,23338,1397,1363,1337,1323,1316,1,1,0,0,1,0,1,0,0,3,3,2,2,1,298,301,301,301,298,915,924,949,956,949,26.5,37,33,42,47,32,46,0
Ethiopia,ETH,8242,10131,27067,43311,73001,66537,74624,83185,92444,102403,0,0,0,0,4,2,4,3,1,8,7,7,8,8,298,301,301,301,298,915,924,949,956,949,20.55,2355,26,26,27,33,37,0
Fiji,FJI,1684,2728,3523,3972,4671,811,818,843,874,899,0,0,0,0,0,0,0,0,1,0,0,0,0,1,298,301,301,301,298,915,924,949,956,949,#N/A,0,7,8,6,9,53,0
Finland,FIN,125540,196768,283742,256706,238678,5176,5228,5313,5414,5495,0,0,0,0,2,0,1,0,0,4,2,4,3,1,298,301,301,301,298,915,924,949,956,949,26.15,25,70,53,57,56,54,1
France,FRA,1362249,2115742,2918383,2683825,2465134,60913,62705,64375,65660,66860,0,0,0,0,13,11,7,11,10,38,33,43,35,42,298,301,301,301,298,915,924,949,956,949,25.2,34,337,308,309,324,393,1
Gabon,GAB,5068,7756,15509,17171,14014,1231,1364,1536,1757,1980,0,0,0,0,0,0,0,0,0,0,0,0,1,0,298,301,301,301,298,915,924,949,956,949,#N/A,0,5,5,4,21,6,0
Georgia,GEO,3057,5125,12795,15846,14378,4418,4245,4030,3825,3719,1,1,0,0,0,2,3,1,2,6,4,7,7,7,298,301,301,301,298,915,924,949,956,949,#N/A,451,36,32,35,34,40,0
Germany,DEU,1949954,2819245,3752366,3543984,3477796,82212,82516,82110,80426,82349,0,0,0,0,13,13,16,11,17,56,49,41,44,42,298,301,301,301,298,915,924,949,956,949,26.7,34,422,441,420,383,418,1
Greece,GRC,130134,240521,354461,245671,192691,10806,10955,11078,11045,10776,0,0,0,0,4,6,0,0,3,13,16,3,2,6,298,301,301,301,298,915,924,949,956,949,27.25,153,140,426,152,102,92,1
Grenada,GRD,520,599,826,800,1056,102,103,104,105,107,0,0,0,0,0,0,0,1,0,0,0,0,1,1,298,301,301,301,298,915,924,949,956,949,26.95,25,3,5,9,8,7,0
Guatemala,GTM,19289,23965,39137,50388,68664,11651,12797,14006,15271,16582,0,0,0,0,0,0,0,0,0,0,0,0,1,0,298,301,301,301,298,915,924,949,956,949,#N/A,1529,15,18,12,19,21,0
Hong Kong,HKG,171668,169100,219280,262629,320881,6665,6784,6958,7150,7337,0,0,0,0,0,0,0,0,0,0,1,0,1,0,298,301,301,301,298,915,924,949,956,949,24.15,100,31,32,34,41,37,0
Hungary,HUN,47311,104067,157998,127857,125817,10211,10107,10038,9920,9814,0,1,0,0,8,8,3,8,8,17,17,10,18,15,298,301,301,301,298,915,924,949,956,949,27.4,102,178,209,171,152,154,0
Iceland,ISL,8927,13723,17658,14292,20304,281,292,317,321,335,0,0,0,0,0,0,0,0,0,1,0,1,0,0,298,301,301,301,298,915,924,949,956,949,26.35,15,18,26,27,27,8,0
India,IND,462147,699689,1186953,1827638,2274230,1053051,1126136,1197147,1263066,1324171,0,0,0,0,0,0,1,0,0,1,1,3,6,2,298,301,301,301,298,915,924,949,956,949,21.8,210,65,73,53,81,112,0
Indonesia,IDN,165021,256837,510229,917870,932256,211540,223615,236159,248883,261115,0,0,0,0,1,1,1,0,1,6,4,6,3,3,298,301,301,301,298,915,924,949,956,949,23.05,3,47,38,24,22,28,0
Iran,IRN,109592,190043,406071,598853,418977,66132,69617,72846,76454,80277,0,0,1,0,3,2,1,5,3,4,6,2,13,8,298,301,301,301,298,915,924,949,956,949,26.25,1189,33,37,54,52,63,0
Ireland,IRL,99854,193870,275020,225572,304819,3805,4070,4490,4600,4755,0,0,0,0,0,0,0,1,0,1,0,3,6,2,298,301,301,301,298,915,924,949,956,949,27.55,8,64,46,55,64,76,0
Israel,ISR,132339,135445,215840,257297,317748,6289,6809,7309,7911,8546,0,0,0,0,0,1,0,0,0,1,2,1,0,2,298,301,301,301,298,915,924,949,956,949,27.4,754,39,36,43,37,47,0
Italy,ITA,1141760,1798315,2390729,2072823,1859384,56942,57685,58827,59540,60627,0,0,0,0,13,10,8,8,8,34,32,27,28,28,298,301,301,301,298,915,924,949,956,949,25.8,14,361,364,333,281,309,1
Ivory Coast,CIV,10717,16554,24225,27041,36375,16687,17998,19498,21419,23696,0,0,1,0,0,0,0,0,1,0,0,0,0,2,298,301,301,301,298,915,924,949,956,949,#N/A,217,14,5,21,9,12,0
Jamaica,JAM,8985,10151,13679,14800,14057,2657,2729,2790,2841,2881,0,0,0,0,0,2,5,4,6,9,5,10,12,11,298,301,301,301,298,915,924,949,956,949,27.7,53,48,47,50,45,56,0
Japan,JPN,4887520,4815149,5037908,6203213,4949273,126843,127761,128063,127629,126995,0,0,0,0,5,16,9,7,12,18,37,25,38,41,298,301,301,301,298,915,924,949,956,949,22.75,17,266,306,332,291,336,1
Kazakhstan,KAZ,18292,43152,133442,207999,137278,14884,15013,15674,16792,17794,1,1,1,0,3,1,2,3,3,7,8,8,10,18,298,301,301,301,298,915,924,949,956,949,26.45,338,130,114,130,113,101,0
Kenya,KEN,12705,16095,35895,50335,70875,31450,35075,39148,43647,48462,0,0,0,0,2,1,6,2,6,7,7,16,12,13,298,301,301,301,298,915,924,949,956,949,23.3,1795,56,46,46,47,79,0
Kosovo,XKX,1849,3640,5687,6500,6715,1700,1705,1747,1805,1816,0,0,1,0,0,0,0,0,1,0,0,0,0,1,298,301,301,301,298,915,924,949,956,949,#N/A,0,0,0,0,0,8,0
Kuwait,KWT,37712,59440,147396,174070,110912,2051,2208,2652,3396,4053,0,0,0,0,0,0,0,0,0,1,0,0,1,0,298,301,301,301,298,915,924,949,956,949,29.8,5,29,11,8,10,0,0
Kyrgyzstan,KGZ,1370,2212,5140,6605,6813,4898,5105,5319,5607,6080,1,1,1,0,0,0,0,0,0,1,0,3,0,0,298,301,301,301,298,915,924,949,956,949,#N/A,771,48,29,20,14,19,0
Latvia,LVA,7938,14373,35596,28120,27572,2368,2263,2177,2034,1960,1,1,0,0,1,0,1,1,0,3,4,3,2,0,298,301,301,301,298,915,924,949,956,949,26.75,8,45,32,47,45,32,0
Lithuania,LTU,11539,22650,47851,42848,42773,3500,3377,3198,2988,2868,1,1,0,0,2,1,0,2,0,5,3,5,5,4,298,301,301,301,298,915,924,949,956,949,26.6,124,61,59,71,62,67,0
Malaysia,MYS,93790,124750,230814,314443,296536,23186,25174,27111,29170,31187,0,0,1,0,0,0,0,0,0,0,0,1,2,5,298,301,301,301,298,915,924,949,956,949,25.65,60,40,26,32,29,32,0
Mauritius,MUS,4583,6386,9990,11669,12232,1187,1221,1244,1256,1263,0,0,1,0,0,0,0,0,0,0,0,1,0,0,298,301,301,301,298,915,924,949,956,949,25.3,134,2,2,2,2,2,0
Mexico,MEX,707907,782241,1109989,1201090,1076912,101720,106996,113662,120828,127540,0,0,0,0,1,0,2,1,0,6,4,4,8,5,298,301,301,301,298,915,924,949,956,949,28,2240,78,109,83,99,123,1
Moldova,MDA,1288,2598,6055,7285,6796,3640,3604,3570,3560,3552,1,1,0,0,0,0,0,0,0,2,0,1,0,0,298,301,301,301,298,915,924,949,956,949,27.05,80,34,33,29,20,23,0
Mongolia,MNG,1137,1992,5623,12293,11183,2397,2497,2628,2814,3027,0,0,0,0,0,0,2,0,0,0,1,4,5,2,298,301,301,301,298,915,924,949,956,949,#N/A,1350,20,20,28,29,43,0
Montenegro,MNE,984,2073,4546,4088,4374,605,613,617,621,622,0,1,0,0,0,0,0,0,0,0,0,0,1,0,298,301,301,301,298,915,924,949,956,949,26.6,61,19,1,33,2,35,0
Morocco,MAR,38857,59626,92507,98266,103606,28850,30179,31597,33334,35277,0,0,1,0,0,2,0,0,0,5,3,2,1,1,298,301,301,301,298,915,924,949,956,949,26,53,55,55,47,63,48,0
Netherlands,NLD,412807,650533,936228,828947,777228,15926,16282,16446,16755,17030,0,0,0,0,12,4,7,6,8,25,22,16,20,19,298,301,301,301,298,915,924,949,956,949,25.7,-2,231,210,237,173,237,1
New Zealand,NZL,52623,103905,133280,176193,189286,3858,4088,4260,4408,4693,0,0,0,0,1,3,3,6,4,4,5,9,13,18,298,301,301,301,298,915,924,949,956,949,28.1,10,147,148,178,178,195,0
Nigeria,NGA,46386,87845,208065,460954,404653,122352,135394,150347,167297,185990,0,0,1,0,1,0,0,0,0,3,2,5,0,1,298,301,301,301,298,915,924,949,956,949,23.3,777,83,70,74,49,71,0
Niger,NER,1798,3053,5403,6942,7607,11353,13127,15229,17732,20673,0,0,1,0,0,0,0,0,0,0,0,0,0,1,298,301,301,301,298,915,924,949,956,949,#N/A,207,4,4,4,6,6,0
North Korea,KOR,561633,764881,1002219,1222807,1414804,47008,48083,49055,50200,51246,0,1,0,0,0,0,2,4,2,4,5,6,6,7,298,301,301,301,298,915,924,949,956,949,24.1,6,31,36,58,52,31,0
Norway,NOR,171316,264357,462554,510229,371075,4491,4592,4768,5019,5235,0,0,0,0,4,5,3,2,0,10,6,9,4,4,298,301,301,301,298,915,924,949,956,949,26.8,12,93,52,84,61,62,0
Panama,PAN,12304,15013,25156,40430,57821,3030,3270,3516,3773,4034,0,0,0,0,0,0,1,0,0,0,0,1,0,0,298,301,301,301,298,915,924,949,956,949,26.95,0,6,4,5,8,10,0
Philippines,PHL,81026,91371,174195,250092,304889,77992,84678,90752,96867,103320,0,0,0,0,0,0,0,0,0,0,0,0,0,1,298,301,301,301,298,915,924,949,956,949,23.15,7,20,16,15,11,13,0
Paraguay,PRY,8196,8034,18504,24595,27424,5303,5704,6047,6379,6725,0,0,0,0,0,0,0,0,0,0,1,0,0,0,298,301,301,301,298,915,924,949,956,949,#N/A,54,5,22,7,8,11,0
Poland,POL,171886,255102,533816,500361,471400,38259,38182,38126,38063,37970,0,1,0,0,6,3,4,3,2,14,10,11,11,11,298,301,301,301,298,915,924,949,956,949,26.75,93,187,194,257,210,234,0
Portugal,PRT,118358,189187,262008,216368,205184,10290,10484,10558,10515,10325,0,0,0,0,0,0,1,0,0,2,3,2,1,1,298,301,301,301,298,915,924,949,956,949,25.85,15,61,81,77,76,90,0
Puerto Rico,PRI,61702,80322,93639,101565,105035,3811,3827,3761,3634,3407,0,0,0,0,0,0,0,0,1,0,0,0,2,1,298,301,301,301,298,915,924,949,956,949,#N/A,3,29,43,22,25,40,0
Qatar,QAT,17760,31734,115270,186834,152452,592,759,1389,2110,2570,0,0,1,0,0,0,0,0,0,1,0,0,2,1,298,301,301,301,298,915,924,949,956,949,29.5,13,17,15,20,12,37,0
Romania,ROU,37439,76216,213605,171665,187806,22443,21452,20538,20058,19702,0,1,0,0,11,8,4,2,1,26,19,9,9,4,298,301,301,301,298,915,924,949,956,949,26.95,70,145,108,101,105,95,0
Russia,RUS,259708,591017,1660844,2210257,1284728,146597,144067,142742,143202,144342,1,1,0,0,32,28,24,20,19,89,90,60,70,55,298,301,301,301,298,915,924,949,956,949,26.3,124,435,446,454,430,285,1
Saudi Arabia,SAU,189515,258742,519797,735975,644936,20764,23229,25941,29086,32276,0,0,1,0,0,0,0,0,0,2,0,0,1,0,298,301,301,301,298,915,924,949,956,949,28.7,624,18,16,14,18,10,0
Serbia,SRB,6540,24861,49260,40742,38300,7516,7463,7350,7199,7058,0,1,0,0,0,0,0,1,2,0,0,3,4,8,298,301,301,301,298,915,924,949,956,949,26.2,116,0,0,87,116,103,0
Singapore,SGP,95834,114189,192226,290674,309764,4028,4167,4839,5312,5607,0,0,0,0,0,0,0,0,1,0,0,1,2,1,298,301,301,301,298,915,924,949,956,949,23.75,0,14,16,25,23,25,0
Slovakia,SVK,29115,57241,100325,93414,89769,5389,5372,5379,5408,5431,0,1,0,0,1,2,3,0,2,5,6,6,4,4,298,301,301,301,298,915,924,949,956,949,26.5,131,108,64,57,47,52,0
Slovenia,SVN,20342,34470,55590,46353,44709,1989,1997,2021,2057,2065,0,1,0,0,2,0,1,1,1,2,4,5,4,4,298,301,301,301,298,915,924,949,956,949,26.6,281,74,79,61,65,63,0
South Africa,ZAF,136362,228937,287100,396333,295763,45728,48247,50412,52998,56015,0,0,0,0,0,1,0,4,2,5,6,1,6,10,298,301,301,301,298,915,924,949,956,949,27.3,1271,127,106,134,124,135,0
South Korea,PRK,561634,764881,1002219,1222807,1411042,22929,23729,24335,24854,25369,0,0,0,0,8,9,13,13,9,28,30,32,30,21,298,301,301,301,298,915,924,949,956,949,23.75,33,127,106,134,124,135,1
Spain,ESP,595403,1069556,1635015,1336019,1237255,40568,42922,45954,46773,46484,0,0,0,0,3,3,5,4,7,11,20,19,18,17,298,301,301,301,298,915,924,949,956,949,26.15,667,321,317,284,278,307,1
Sudan,SDN,12257,21457,54527,68126,95584,27251,30186,32955,35990,39579,0,0,0,0,0,0,0,0,0,0,0,1,0,0,298,301,301,301,298,915,924,949,956,949,#N/A,377,3,4,9,6,6,0
Sweden,SWE,259802,381705,513966,543881,514460,8872,8994,9220,9519,9923,0,0,0,0,4,4,0,1,2,12,7,5,8,11,298,301,301,301,298,915,924,949,956,949,26.1,15,150,115,123,133,151,1
Switzerland,CHE,272055,394164,554363,668044,668745,7184,7390,7648,7997,8373,0,0,0,0,1,1,2,2,3,9,5,7,4,7,298,301,301,301,298,915,924,949,956,949,25.3,542,102,98,83,98,103,0
Syrian Arab Republic,SYR,19326,25087,52631,73672,#N/A,16411,17807,20325,20421,18430,0,0,0,0,0,0,0,0,0,0,1,0,0,0,298,301,301,301,298,915,924,949,956,949,28.35,691,8,6,7,10,7,0
Taiwan,TWN,331470,348512,417038,495919,525608,22191,22750,22921,22235,22465,0,0,0,0,0,2,1,1,1,5,5,4,2,3,298,301,301,301,298,915,924,949,956,949,24.35,5,55,88,79,44,57,0
Tajikistan,TJK,861,2076,5161,7633,6952,6216,6713,7310,7995,8735,1,1,1,0,0,0,0,0,1,0,0,2,1,1,298,301,301,301,298,915,924,949,956,949,#N/A,789,4,9,15,16,7,0
Thailand,THA,126392,172895,291383,397558,411755,62958,65002,66546,67844,68864,0,0,0,0,1,3,2,0,2,3,8,6,4,6,298,301,301,301,298,915,924,949,956,949,24.4,1,52,42,47,37,54,0
Togo,TGO,1294,1937,3163,3867,4389,4970,5535,6162,6859,7606,0,0,0,0,0,0,0,0,0,0,0,1,0,0,298,301,301,301,298,915,924,949,956,949,#N/A,63,3,3,4,6,5,0
Trinidad and Tobago,TTO,8154,13280,27870,25623,22320,1268,1291,1315,1342,1365,0,0,0,0,0,0,0,0,0,0,0,0,0,1,298,301,301,301,298,915,924,949,956,949,#N/A,0,19,19,28,25,28,0
Tunisia,TUN,21473,31183,44857,45044,42063,9699,10018,10407,10887,11403,0,0,0,0,0,0,1,2,0,0,0,1,3,3,298,301,301,301,298,915,924,949,956,949,26.4,0,47,54,26,83,61,0
Turkey,TUR,272979,404787,764336,873982,863722,63240,67008,70440,74570,79512,0,0,1,0,3,3,1,1,1,5,11,5,3,8,298,301,301,301,298,915,924,949,956,949,28,938,57,64,67,112,100,0
Uganda,UGA,6193,7940,14239,23114,24079,24039,27568,31664,36307,41488,0,0,0,0,0,0,0,1,0,0,0,0,1,0,298,301,301,301,298,915,924,949,956,949,#N/A,1190,13,11,11,15,21,0
Ukraine,UKR,31262,64883,179992,175781,93270,49176,47452,46258,45593,45005,1,1,0,0,3,8,7,6,2,23,22,22,20,11,298,301,301,301,298,915,924,949,956,949,26.7,168,230,239,243,230,204,0
United Arab Emirates,ARE,104337,147824,315475,374591,357045,3155,4088,6894,8900,9270,0,0,1,0,0,1,0,0,0,0,1,0,0,1,298,301,301,301,298,915,924,949,956,949,28.8,13,4,4,8,26,12,0
United Kingdom,GBR,1647951,2398555,2890564,2662085,2650850,58893,59988,61807,63700,65596,0,0,0,0,11,9,19,29,27,28,30,49,65,67,298,301,301,301,298,915,924,949,956,949,27.25,14,310,264,305,530,360,1
United States,USA,10284779,12274928,14718582,16155255,18624475,282162,292805,304094,313993,323406,0,0,0,0,37,36,36,46,46,93,101,112,103,121,298,301,301,301,298,915,924,949,956,949,29,2,586,533,588,530,555,1
Uzbekistan,UZB,13760,12030,29549,51822,67068,24650,25864,27303,29775,31848,1,1,0,0,1,2,0,1,4,4,5,4,3,13,298,301,301,301,298,915,924,949,956,949,#N/A,459,70,69,56,53,70,0
Venezuela,VEN,117141,112453,315953,381286,236,24488,26327,28142,29893,31568,0,0,0,0,0,0,0,1,0,0,2,1,1,3,298,301,301,301,298,915,924,949,956,949,26.8,909,50,48,108,68,86,0
Vietnam,VNM,31173,45428,99130,155820,205276,80286,83528,86708,90452,94569,0,0,0,0,0,0,0,0,1,1,0,1,0,2,298,301,301,301,298,915,924,949,956,949,21.7,25,7,11,13,18,22,0
Zimbabwe,ZWE,6690,5806,4416,14242,16620,12222,12778,13558,14711,16150,0,0,0,0,0,1,1,0,0,0,3,4,0,0,298,301,301,301,298,915,924,949,956,949,#N/A,1483,16,12,13,7,30,0